Name,Quantity ,Cost,Link
PCBA,2,$30.4,
PCB ,5,$14.16,
M2 x 6mm Screws,25,$2.42,https://www.amazon.in/dp/B08BXVGLVW?ref_=cm_sw_r_cp_ud_dp_T2FF463SH3DMFF4E48Z5&previewDohEventScheduleTesting=C
M2 Nuts,50,$2.85,https://www.amazon.in/dp/B0CW6KWSV6?ref_=cm_sw_r_cp_ud_dp_8R0WDQ3BTDCMJ3MX2EB8&previewDohEventScheduleTesting=C
Top Case,1,,Print Legion
Bottom Case,1,,Print Legion
